2019-12-06 09:42:54.933| main | DEBUG |  -  | Adding type registration calendar -> org.hibernate.type.CalendarType@4228f269 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.934| main | DEBUG |  -  | Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@4228f269 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.935| main | DEBUG |  -  | Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@4228f269 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.940| main | DEBUG |  -  | Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@11abd6c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.944| main | DEBUG |  -  | Adding type registration locale -> org.hibernate.type.LocaleType@236861da | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.945| main | DEBUG |  -  | Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@236861da | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.951| main | DEBUG |  -  | Adding type registration currency -> org.hibernate.type.CurrencyType@3ba3f40d | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.952| main | DEBUG |  -  | Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3ba3f40d | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.955| main | DEBUG |  -  | Adding type registration timezone -> org.hibernate.type.TimeZoneType@547aaa32 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.956| main | DEBUG |  -  | Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@547aaa32 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.959| main | DEBUG |  -  | Adding type registration class -> org.hibernate.type.ClassType@65e4cb84 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.960| main | DEBUG |  -  | Adding type registration java.lang.Class -> org.hibernate.type.ClassType@65e4cb84 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.964| main | DEBUG |  -  | Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@b55f5b7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.965| main | DEBUG |  -  | Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@b55f5b7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.967| main | DEBUG |  -  | Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@4b5ad306 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.973| main | DEBUG |  -  | Adding type registration binary -> org.hibernate.type.BinaryType@75527e36 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.975| main | DEBUG |  -  | Adding type registration byte[] -> org.hibernate.type.BinaryType@75527e36 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.976| main | DEBUG |  -  | Adding type registration [B -> org.hibernate.type.BinaryType@75527e36 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.979| main | DEBUG |  -  | Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@40016ce1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.981| main | DEBUG |  -  | Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@40016ce1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.982| main | DEBUG |  -  | Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@40016ce1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.987| main | DEBUG |  -  | Adding type registration row_version -> org.hibernate.type.RowVersionType@3b39e79b | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.990| main | DEBUG |  -  | Adding type registration image -> org.hibernate.type.ImageType@7e2bd5e6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.994| main | DEBUG |  -  | Adding type registration characters -> org.hibernate.type.CharArrayType@8432469 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.995| main | DEBUG |  -  | Adding type registration char[] -> org.hibernate.type.CharArrayType@8432469 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.996| main | DEBUG |  -  | Adding type registration [C -> org.hibernate.type.CharArrayType@8432469 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.000| main | DEBUG |  -  | Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@5ab63a04 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.001| main | DEBUG |  -  | Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@5ab63a04 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.002| main | DEBUG |  -  | Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@5ab63a04 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.004| main | DEBUG |  -  | Adding type registration text -> org.hibernate.type.TextType@2ae5bd34 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.006| main | DEBUG |  -  | Adding type registration ntext -> org.hibernate.type.NTextType@3a3ad8e7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.010| main | DEBUG |  -  | Adding type registration blob -> org.hibernate.type.BlobType@c732e1c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.011| main | DEBUG |  -  | Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@c732e1c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.013| main | DEBUG |  -  | Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@340c5fb6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.017| main | DEBUG |  -  | Adding type registration clob -> org.hibernate.type.ClobType@4efb13f1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.018| main | DEBUG |  -  | Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@4efb13f1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.023| main | DEBUG |  -  | Adding type registration nclob -> org.hibernate.type.NClobType@7e2bc2f4 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.024| main | DEBUG |  -  | Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@7e2bc2f4 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.026| main | DEBUG |  -  | Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@1930a804 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.027| main | DEBUG |  -  | Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@456aa471 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.032| main | DEBUG |  -  | Adding type registration serializable -> org.hibernate.type.SerializableType@6e5f5478 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.038| main | DEBUG |  -  | Adding type registration object -> org.hibernate.type.ObjectType@63a84bb6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.038| main | DEBUG |  -  | Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@63a84bb6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.039| main | DEBUG |  -  | Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@27896d3b | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.040| main | DEBUG |  -  | Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@3ed7dd70 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:55.041| main | DEBUG |  -  | Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@6f3b13d0 | [org.hibernate.type.BasicTypeRegistry:156]
